nombre;apellidos;direccioncorreo;otro
pepe;fdez cos;pepe@pepe.com;la
juan;garcia mar;juan@juan.com;la
pepa;paz luna;pepa@pepa.com;le
juana;aviles si;juana@juana.com;li
luis;gijon no;luis@luis.com;lo
luisa;oviedo;luisa@luisa.com;lu
adrian;madrid barsa;adrian@adrian.com;ll
adriana;gutierrez;adriana@adriana.com;lala
pepe;fdez cos;p2epe@pepe.com;la
juan;garcia mar;j2uan@juan.com;la
pepa;paz luna;pe2pa@pepa.com;le
juana;aviles si;j2uana@juana.com;li
luis;gijon no;lui2s@luis.com;lo
luisa;oviedo;lui2sa@luisa.com;lu
adrian;madrid barsa;ad2rian@adrian.com;ll
adriana;gutierrez;adria2na@adriana.com;lala
pepe;fdez cos;pepe@pepe.com;la
juan;garcia mar;juan@juan.com;la
pepa;paz luna;pepa@pepa.com;le
